State Name,District Name,Market Name,Variety,Group,yield,min_price,max_price,model_price,Date
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,203,1800,2400,2200,30-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,218,1800,2400,2200,29-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,201,1800,2400,2200,28-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,267,1900,2600,2300,27-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,233,1800,2400,2200,26-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,207,1600,2280,2040,25-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,242,1800,2400,2200,24-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,198,1800,2400,2200,23-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,201,1700,2300,2200,22-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,228,1800,2400,2200,21-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,211,1800,2400,2200,20-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,205,1800,2400,2200,19-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,214,1600,2280,2040,18-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,231,1600,2280,2040,17-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,316,1600,2200,2000,16-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,367,1600,2200,2000,15-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,374,1500,2000,1900,14-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,341,1200,1600,1400,13-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,303,1340,1800,1600,12-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,264,1500,2000,1900,11-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,221,1900,2600,2300,10-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,206,1800,2400,2200,09-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,298,2100,2800,2600,08-Dec-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,409,2100,2800,2600,30-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,383,2500,3200,3000,29-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,296,2700,3600,3300,28-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,388,2500,3200,3000,27-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,397,2500,3200,3000,26-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,322,2700,3600,3300,25-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,293,3000,3800,3600,24-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,201,3200,4400,3900,23-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,291,2800,3400,3200,22-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,305,2700,3600,3300,21-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,341,2300,3000,2800,20-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,255,3000,3800,3600,19-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,287,3000,3800,3600,18-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,382,2500,3200,3000,17-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,428,1600,2200,2000,16-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,384,1900,2600,2300,15-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,310,2500,3200,3000,14-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,173,2700,3600,3300,13-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,238,2800,3400,3200,08-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,197,2700,3600,3300,07-Nov-23
Andhra Pradesh,Chittor,Madanapalli,Local,Vegetables,264,2500,3200,3000,05-Nov-23
